Country,Question ID,Response,Justification,Supporting0,Supporting1,Supporting2,Supporting4
Argentina,ODB.2013.D15.c,1,,http://www.datospublicos.gob.ar/data/storage/f/2013-08-08T03%3A05%3A14.491Z/electoral-2003-2011-completo.csv,,,
Argentina,ODB.2013.D15.d,1,,http://www.datospublicos.gob.ar/data/storage/f/2013-08-08T03%3A05%3A14.491Z/electoral-2003-2011-completo.csv,,,
Argentina,ODB.2013.D15.e,1,,,,,
Argentina,ODB.2013.D15.f,1,,Open Data Commons Open Database License (ODbL),http://www.opendefinition.org/licenses/odc-odbl,,
Argentina,ODB.2013.D16.a,1,,"Oficina Nacional de Contrataciones (1) is in charge of public contracting. From the operational point of view, public contracting is decentralized, where each province is in charge of their own purchases.

(1): https://www.argentinacompra.gov.ar/",,,
Argentina,ODB.2013.D16.b,1,,"Autonomous city of Buenos Aires: http://www.buenosairescompras.gob.ar/
Buenos Aires (province): http://sistemas.gba.gov.ar/consulta/contrataciones/
Entre Rios: http://www.entrerios.gov.ar/contrataciones/
Mendoza: http://compras.mendoza.gov.ar/gxportal50/page.aspx?3,dcs,busqueda-de-licitaciones,P,es,0,",No,,
Argentina,ODB.2013.D11.a,1,,"There is some data on health services on the Sistema Integrado de Información Sanitaria Argentino (Ministerio de Salud), however to access it, an authorization is needed. There Argentinian Open Data portal provides some outdated datasets. The Ministry of Health provides a Unified Information System of Health Data (2) but most of its features requires a user/password. The Ministerio de Salud also has some data on some basic indicators (3), but the last publication on those date from 2012.

(1): Portal de Datos Abiertos http://datospublicos.gov.ar/data/dataset?organization=ministerio-de-salud
(2): Sistema Integrado de Información Sanitaria Argentino, https://sisa.msal.gov.ar/sisa/#sisa, Accessed on 13th May, 2014
(3): Ministerio de Salud, http://www.deis.gov.ar/indicadores.htm, Accessed on 13th May, 2014",,,
Argentina,ODB.2013.D11.b,1,,"(1): http://www.deis.gov.ar/publicaciones/archivos/indicadores_2013.pdf Accessed September 29th, 2014
(2): http://www.deis.gov.ar/indicadores.htm Accessed September 29th, 2014",No,,
Argentina,ODB.2013.D1.c,1,,"Administrative limits: http://www.ign.gob.ar/archivos/sig250/publicacion-conae-2012/008_limites_politico_administrativos.zip
Provinces: http://www.ign.gob.ar/archivos/sig250/publicacion-conae-2012/008b-provincias.zip",shp,,
Argentina,ODB.2013.D1.d,1,,,zipped shp,,
Argentina,ODB.2013.D1.e,1,,,,,
Argentina,ODB.2013.D1.f,0,,,,,
Argentina,ODB.2013.D1.g,1,,3/1/2013,9/29/2014,unknow,
Argentina,ODB.2013.D1.h,1,,,,,
Argentina,ODB.2013.D1.i,1,,,,,
Argentina,ODB.2013.D1.j,0,,,,,
Argentina,ODB.2013.D2.c,0,,,,,
Argentina,ODB.2013.D2.e,0,,"Apparently, a consultation has a cost, but it is not clear how much (1)

(1): http://portaldetramites.cba.gov.ar/ver/servicio/388",,,
Argentina,ODB.2013.D2.d,0,,,,,
Argentina,ODB.2013.D2.f,0,,"Not only there is no license, but the request can be done only by the owners or people that can prove a legitimate interest in the land (1).

(1): Los titulares del bien o todo aquel que -conforme la Ley de Catastro- acredite un interés legítimo en obtener información.",,,
Argentina,ODB.2013.D2.g,1,,,9/29/2014,unknown,
Argentina,ODB.2013.D2.h,1,,,,,
Argentina,ODB.2013.D2.i,0,,,,,
Argentina,ODB.2013.D2.j,0,,,,,
Argentina,ODB.2013.D4.c,1,,"Available from http://www.censo2010.indec.gov.ar/resultadosdefinitivos_totalpais.asp
http://www.censo2010.indec.gov.ar/cuadrosDefinitivos/Total_pais/P1-P_Total_pais.xls
http://www.censo2010.indec.gov.ar/cuadrosDefinitivos/Total_pais/P2-P_Total_pais.xls

Job Market, Health, Science 
http://www.indec.mecon.ar/bases-de-datos.asp","xls,spss",,downloading of some datasets requires registration
Argentina,ODB.2013.D4.d,1,,,see c:,,
Argentina,ODB.2013.D4.e,1,,,,,
Argentina,ODB.2013.D4.f,0,,"No license found. In some cases, users must be registered to access the data. For example, in http://www.indec.mecon.ar/bases-de-datos.asp",,,
Argentina,ODB.2013.D4.g,1,,"Census: 2010
Job Market: 2013",9/29/2014,irregular,
Argentina,ODB.2013.D4.h,1,,,,,
Argentina,ODB.2013.D4.j,0,,,,,
Argentina,ODB.2013.D4.i,1,,,,,
Argentina,ODB.2013.D5.c,0,,,,,
Argentina,ODB.2013.D5.d,0,,,,,
Argentina,ODB.2013.D5.g,1,,2014,9/29/2014,yearly,
Argentina,ODB.2013.D5.e,1,,,,,
